,Name,Sector,Sharpe,Risk
AKTX,Akari Therapeutics Plc,Health Care,-0.21078077168789003,0.05254580239415874
ALBO,"Albireo Pharma, Inc.",Health Care,0.232136644942287,0.060787744502543525
ALCO,"Alico, Inc.",Consumer Non-Durables,0.8502649085398666,0.0195570365776322
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,-0.874609928987491,0.04509024077210274
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,-0.04995406268852645,0.06798894392023445
ALGN,"Align Technology, Inc.",Health Care,3.8102066653171,0.017689324451834715
ALGT,Allegiant Travel Company,Transportation,-0.26845589583305335,0.019705420234804646
ALIM,"Alimera Sciences, Inc.",Health Care,-0.23976119737656634,0.029761148812514716
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,-0.566452755686942,0.025803499897353994
ALKS,Alkermes plc,Health Care,1.4907372556813874,0.025243251356179736
ALLT,Allot Communications Ltd.,Technology,-0.29002529418004824,0.016878570135616656
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,0.18332311632584553,0.047684446826448346
ALOG,Analogic Corporation,Capital Goods,-0.2217044677448135,0.016929918578005243
ALOT,"AstroNova, Inc.",Technology,-0.2709009157684355,0.022789925354010806
ALQA,"Alliqua BioMedical, Inc.",Health Care,-0.5359439785816319,0.07683222439176303
ALRM,"Alarm.com Holdings, Inc.",Technology,1.9705972321482423,0.018949857710084343
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,0.9054505265867383,0.02502216685335136
ALT,"Altimmune, Inc.",Health Care,0.24756684040085725,0.441820121696657
ALTY,Global X SuperDividend Alternatives ETF,n/a,1.6160466090626828,0.017581572059168726
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,0.37531362184138356,0.02442189693365219
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,-0.376023944062089,0.03783737885953804
AMAT,"Applied Materials, Inc.",Technology,2.9896624225662736,0.01635868042323244
AMBA,"Ambarella, Inc.",Technology,-0.8090727495080845,0.027183699108570446
AMBC,"Ambac Financial Group, Inc.",Finance,-0.31121226814911324,0.023924394174858945
AMCN,AirMedia Group Inc,Technology,-1.1852942641472552,0.022724331394058106
AMCX,AMC Networks Inc.,Consumer Services,0.4475465135051807,0.016471811410474466
AMD,"Advanced Micro Devices, Inc.",Technology,1.43432492009263,0.039141764178501126
AMDA,Amedica Corporation,Health Care,-0.7770806804873467,0.05459001306170364
AMED,Amedisys Inc,Health Care,0.29247737338033625,0.02149019768703358
AMGN,Amgen Inc.,Health Care,0.626790094593447,0.013812765194039876
AMKR,"Amkor Technology, Inc.",Technology,0.19888886669730288,0.023806998556266584
AMNB,"American National Bankshares, Inc.",Finance,2.444468791878654,0.014520889957608259
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,0.8356933927155327,0.026309600158361635
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,-0.1605534412382799,0.020322666060208418
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,-0.07715488301416512,0.031120201714401767
AMRB,American River Bankshares,Finance,1.1613462783868223,0.01818840837242238
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,0.2673287334452007,0.02350012236465842
AMRN,Amarin Corporation plc,Health Care,2.2191979917676967,0.026030515874713795
AMRS,"Amyris, Inc.",Basic Industries,-0.6384726856017966,0.06597571880869957
