,Sharpe,Risk
ANIK,0.7948483049802998,0.01576221695946103
ANIP,-0.5627943351580083,0.026455450849082896
ANSS,1.973352541273649,0.011536183162335095
ANTH,-0.7741228089615061,0.07880985296911956
AOBC,-0.8174360553159686,0.027715886620158867
AOSL,-0.431835488117419,0.029695424226933366
APDN,-0.027207156574199767,0.053688163136320834
APEI,0.007678284102548035,0.03673073049886628
APEN,-0.5506346750505102,0.07844219595409681
APLP,-0.04542066630326804,0.02157255071275206
APOG,0.2959868386410957,0.019226735243829115
APPF,5.260200659620599,0.019054563807762832
APPS,0.5073222938626546,0.03793277984184042
APRI,-0.29980959313987654,0.09423006141805268
APTI,0.002241039759239235,0.026716936963534756
APTO,-0.6829950168086351,0.051143226303075266
APVO,0.032809035618287,0.0597933901552798
APWC,0.7238387189555003,0.037052802649788635
AQMS,-0.13794871366287204,0.05192147199412712
AQXP,1.4900551457384206,0.03169361003534438
ARAY,-0.7119024030168806,0.02779111849354371
ARCB,1.1137880441827084,0.03300027993048087
ARCC,2.1399731670446274,0.007136535660232541
ARCI,0.10118036386902925,0.10297301185059694
ARCW,-0.6705688410096545,0.04146199943235467
ARDM,-0.4044879334877379,0.07438045301581896
ARDX,-0.8000857680503367,0.04810115170538913
AREX,-0.3808573356957128,0.0468500802238595
ARGS,-0.7510496836263109,0.0832310846779258
ARII,-0.08073763053278304,0.019007467617134087
ARKR,0.732066315172336,0.017711431856267782
ARLP,-0.12713071556219377,0.026254136548936595
ARLZ,-0.5946935223774958,0.035346966820709286
ARNA,0.5449105767148693,0.04393008879936908
AROW,0.49049609968606933,0.01651020877438073
ARQL,-0.5952650388572567,0.03767904380193105
ARRS,0.07844558031994438,0.018971691902596913
ARRY,1.2241071580268452,0.0379302072516843
ARTNA,1.8912960899840263,0.0184913133508194
ARTW,-0.20119021891085972,0.04686816382807465
ARTX,0.2761619481945833,0.04491007477365023
ARWR,-0.4274216898820459,0.07130205919501892
ASCMA,-0.8874610070727048,0.03328466090811513
ASET,1.1907777584654153,0.01921447832057229
ASFI,-0.56856711062674,0.027274260390631983
ASMB,6.448879833351765,0.032847392595930267
ASML,1.4759795057772487,0.012120219004223304
ASNA,-0.8148946532337286,0.048111563784675335
ASND,1.2605385133174196,0.021388673458393997
ASPS,0.9666442104681457,0.02951565621625971
ASRV,1.0584270801137015,0.01836596586137425
ASTC,-0.5685584700893792,0.04646601683957757
ASTE,-0.22130561338531407,0.021586236840605653
ASUR,1.8928293282862458,0.033195153309792065
ASYS,2.641955741024286,0.04427015503576199
ATAI,-0.43546901472411087,0.03254952818637838
ATAX,0.8425438403778541,0.014987394747810672
ATEC,-0.7507885193362998,0.051030099346804435
ATHN,-0.03872379211901376,0.03100449375692113
ATHX,0.314454052467582,0.04767115014260586
ATLC,-0.39375108437182127,0.038883557495213376
ATLO,0.466953123121905,0.016776068797172805
ATNI,-0.5863549437689048,0.020138969775741495
ATOM,-0.8625509794275247,0.03641066858154251
ATOS,-0.7474456739100345,0.06282006641994699
ATRA,-0.11199795412197307,0.04436369665667748
ATRC,1.1125530361276894,0.024952954157478304
ATRI,2.1876950676008686,0.015076302225765562
ATRO,-0.8042968394177915,0.025539600401483908
ATRS,-0.6422738204990623,0.013523492684491682
ATSG,1.689857358029784,0.02343660348699101
ATTU,0.1679243738019094,0.03345914762583988
ATVI,1.3576650135219073,0.019342582751997232
AUBN,1.3399171092460742,0.01565469022394344
AUDC,1.453642699677643,0.019018982763849637
AUPH,1.278323287772129,0.06302851711930653
AVAV,3.359834831550363,0.02183339496855519
AVDL,-0.2566323283071051,0.025404729457709056
AVEO,2.5645648727931554,0.07418045890319876
AVGO,1.8415248476948642,0.012663797870339628
AVGR,-0.5373574895429724,0.11613950285689201
AVHI,0.2445777355705985,0.02055147309024368
AVID,-0.7367403451414447,0.0335966442421924
AVIR,-0.7871947778726367,0.048467335614373566
AVNW,0.9151537736070976,0.039733402716699846
AVXL,0.3935860464853122,0.038516729552536454
AVXS,2.047817612442751,0.034934758778670354
AWRE,-0.20136579393153836,0.024284627980731638
AXAS,0.20850671316824895,0.037578051093296545
AXDX,-0.48431648457833326,0.029811912812840766
AXGN,3.1564815812505396,0.02568905353004531
AXSM,-0.45199142817713905,0.04096159954964919
AXTI,1.0552002355306938,0.04251819842590564
AZPN,1.693038752518195,0.013242764016150836
BABY,-0.012023725188393545,0.020555303235774317
BANF,2.278870942888814,0.01591547407721832
BANR,1.891315403923819,0.013689092456118091
BANX,1.7169549320517818,0.012079212542715934
BASI,0.6576340661689154,0.06412538003675258
BATRA,1.5113437050092404,0.019144595300718117
BATRK,1.5975348800264124,0.018444939866895334
BBBY,-1.2483126266983242,0.018971835574649223
BBC,0.7981095015960773,0.10326543206349353
BBGI,1.984735794775763,0.017321272029000974
BBH,0.9154129457813985,0.052887063583949595
BBOX,3.086205494571115,0.009734716588343947
BBP,0.8628895312343731,0.08210690455252391
BBRG,-0.9075520753899197,0.03369389550267926
BBRY,-0.14468848482578242,0.015373576443764444
BBSI,0.5666997451443415,0.018380600132587
BCBP,1.3090773321381555,0.01646482347206025
BCLI,1.2336319615002018,0.035675214829297384
BCOR,3.870962517400128,0.02036625216088125
BCOV,-0.8528447419289386,0.03605566756466879
BCPC,0.15051267567036128,0.013891679908077981
BCRX,0.2328584464165599,0.048373970884010214
BCTF,0.896396297117771,0.011415783801105833
BDGE,1.0717609302807365,0.01497601650697386
BDSI,0.2731773667691102,0.04296880621326762
BEAT,1.3006776738969792,0.028422018199291733
BEBE,-0.1989967222725988,0.05498787617629645
BECN,1.0416011452342269,0.01601833240134123
BELFA,0.6352822848030116,0.03840751257325789
